bairro,area_m2,quartos,preco,latitude,longitude,zona,preco_m2
Lapa,264,3,1147995,-23.55694238427461,-46.768989202565734,Oeste,4348.47
Jardins,270,3,1055451,-23.601905979090827,-46.69751425156013,Oeste,3909.08
Moema,284,4,742493,-23.556761256359223,-46.77857688854981,Sul,2614.41
Morumbi,124,2,1210093,-23.630035650782236,-46.78592148821486,Centro,9758.81
Morumbi,195,3,827309,-23.573371208191045,-46.69153567310667,Norte,4242.61
Santo Amaro,288,1,1036603,-23.60400119146045,-46.79752822090728,Centro,3599.32
Jardins,125,4,1768025,-23.638007908756144,-46.67110672920731,Centro,14144.2
Morumbi,58,1,971182,-23.61508773690472,-46.68030235026037,Centro,16744.52
Moema,123,2,1344782,-23.603295778655134,-46.677633725885705,Oeste,10933.19
Santo Amaro,235,2,789047,-23.58243337531154,-46.78409845650118,Leste,3357.65
Moema,285,2,989503,-23.58330019130582,-46.748143882848744,Oeste,3471.94
Santo Amaro,194,4,1531240,-23.616948695519817,-46.672815642483336,Oeste,7892.99
Jardins,279,3,811910,-23.649413936122116,-46.71604851275525,Centro,2910.07
Lapa,56,4,1543735,-23.616183918984937,-46.74229470376047,Oeste,27566.7
Perdizes,223,1,1212326,-23.605778341737,-46.662519612748405,Centro,5436.44
Tatuapé,190,4,831260,-23.623065051023925,-46.7823624552611,Leste,4375.05
Lapa,217,1,1189722,-23.59652056122837,-46.770540530316225,Norte,5482.59
Itaim Bibi,219,4,1291766,-23.55601423426008,-46.72578101603649,Centro,5898.47
Moema,186,3,1186543,-23.60622968158779,-46.795068992288876,Leste,6379.26
Itaim Bibi,227,1,528933,-23.645762528450536,-46.712664146891264,Norte,2330.1
Lapa,76,2,781859,-23.567530294235766,-46.79761654785547,Sul,10287.62
Santo Amaro,171,2,925744,-23.619000489082065,-46.75018799982054,Centro,5413.71
Tatuapé,243,4,977670,-23.570093368865905,-46.74520069098809,Centro,4023.33
Tatuapé,54,2,1186202,-23.603582768447307,-46.674893234294366,Sul,21966.7
Pinheiros,78,1,1053310,-23.559667644964673,-46.782289163745695,Sul,13503.97
Tatuapé,214,2,599397,-23.59503709362582,-46.71412345318809,Centro,2800.92
Perdizes,215,3,1114059,-23.625616332889525,-46.674335010867374,Sul,5181.67
Tatuapé,132,3,1183176,-23.584757152423897,-46.651891127996365,Oeste,8963.45
Lapa,185,4,1167937,-23.616491172448722,-46.73396335254576,Norte,6313.17
Pinheiros,289,1,1324234,-23.629544996078973,-46.7291099433184,Norte,4582.12
Lapa,158,3,1250177,-23.642717781947944,-46.75790304335537,Norte,7912.51
Lapa,114,3,1137754,-23.573464208185545,-46.783538707952665,Oeste,9980.3
Vila Mariana,135,1,978950,-23.589931591580932,-46.66191098769645,Sul,7251.48
Pinheiros,293,2,501712,-23.565241601333042,-46.75972447355105,Leste,1712.33
Lapa,194,2,1128885,-23.649248350215835,-46.67811179161463,Sul,5818.99
Vila Mariana,120,4,1062306,-23.642700096792428,-46.77872655797357,Centro,8852.55
Vila Mariana,266,2,1081474,-23.603995713028056,-46.77285952707925,Norte,4065.69
Pinheiros,94,1,616975,-23.634203329437643,-46.73111906324783,Sul,6563.56
Itaim Bibi,181,3,675683,-23.602095797727205,-46.75653641979349,Leste,3733.06
Santo Amaro,85,2,1315946,-23.612358568800275,-46.69715251697756,Centro,15481.72
Perdizes,119,4,988133,-23.558912443211604,-46.72067518483992,Oeste,8303.64
Santo Amaro,208,2,1204450,-23.62552704204968,-46.77324553465657,Oeste,5790.62
Tatuapé,68,1,1008496,-23.562771348363523,-46.71888977957598,Leste,14830.82
Perdizes,238,4,1008927,-23.63260676302525,-46.70366973979881,Centro,4239.19
Tatuapé,157,2,1281485,-23.62820280876704,-46.72413186708754,Norte,8162.32
Lapa,231,4,845187,-23.620874469774297,-46.77423738786558,Sul,3658.82
Moema,216,1,1028836,-23.55361603805248,-46.700281207105625,Centro,4763.13
Pinheiros,140,3,861317,-23.580312835594533,-46.67606423897036,Oeste,6152.26
Perdizes,251,1,869651,-23.576311256991083,-46.756802103049615,Leste,3464.75
Perdizes,139,1,907248,-23.58601364074715,-46.77389673190621,Leste,6526.96
Lapa,68,1,1066640,-23.558764274676385,-46.665095621778526,Sul,15685.88
Itaim Bibi,88,1,856375,-23.643695782303105,-46.68598111691339,Leste,9731.53
Vila Mariana,175,3,1376727,-23.605380224071236,-46.67129579846415,Leste,7867.01
Lapa,244,3,731618,-23.5805524310658,-46.70219121173732,Centro,2998.43
Morumbi,222,4,943939,-23.589698151707427,-46.71755264683581,Norte,4251.98
Vila Mariana,190,2,868081,-23.594720254050483,-46.76232395054449,Sul,4568.85
Pinheiros,291,3,1434093,-23.610059433336062,-46.74767213773225,Centro,4928.15
Vila Mariana,269,3,1058966,-23.60156794276965,-46.743139285121764,Norte,3936.68
Itaim Bibi,175,2,1309553,-23.64193919732144,-46.70285624199145,Centro,7483.16
Vila Mariana,107,3,554332,-23.599696348290582,-46.776217132962714,Centro,5180.67
Pinheiros,197,1,1080115,-23.64921580148233,-46.72069307510972,Leste,5482.82
Itaim Bibi,269,1,1266889,-23.63514249577451,-46.79686574070227,Norte,4709.62
Santo Amaro,249,2,1024685,-23.570851051435735,-46.74512132074436,Sul,4115.2
Perdizes,110,4,1319644,-23.64305952146439,-46.66893971123467,Sul,11996.76
Perdizes,176,4,844813,-23.56163663978855,-46.751426634311315,Norte,4800.07
Tatuapé,154,2,1422804,-23.63174497084912,-46.69876560231475,Leste,9238.99
Santo Amaro,216,2,1689669,-23.588062329347657,-46.75294907950291,Oeste,7822.54
Santo Amaro,50,1,891148,-23.637797432044504,-46.66044617222436,Centro,17822.96
Vila Mariana,180,4,866349,-23.636805669010744,-46.67623221557639,Leste,4813.05
Perdizes,254,3,1436015,-23.63059254001176,-46.77836058883587,Norte,5653.6
Pinheiros,141,1,1473872,-23.629003043630703,-46.68407693355353,Centro,10452.99
Jardins,239,2,843142,-23.580467913909803,-46.77555616878644,Sul,3527.79
Jardins,298,4,873944,-23.558091928305124,-46.69189141326816,Oeste,2932.7
Itaim Bibi,240,3,915465,-23.590298017876517,-46.746432286508806,Sul,3814.44
Perdizes,162,3,596665,-23.56735245149865,-46.75412258602647,Norte,3683.12
Perdizes,202,1,724404,-23.619495108890245,-46.726898212971754,Centro,3586.16
Jardins,105,4,698758,-23.58460997265378,-46.695796601504505,Norte,6654.84
Perdizes,210,4,769661,-23.64756102008599,-46.68189665645566,Centro,3665.05
Vila Mariana,215,2,989595,-23.61409720773453,-46.654978403184366,Leste,4602.77
Morumbi,166,4,1070264,-23.632248056363434,-46.69559196018611,Oeste,6447.37
Moema,183,4,1465150,-23.563252467274186,-46.74797441857969,Leste,8006.28
Santo Amaro,107,1,700494,-23.63620144822726,-46.79074572276727,Leste,6546.67
Tatuapé,93,4,1295297,-23.642275719051337,-46.78068067233946,Norte,13927.92
Itaim Bibi,222,3,935803,-23.59870619188189,-46.76490971648029,Oeste,4215.33
Morumbi,209,1,985161,-23.610625293775097,-46.76826710148799,Centro,4713.69
Jardins,222,1,1202446,-23.6264809800903,-46.749747735521396,Centro,5416.42
Santo Amaro,110,2,663183,-23.567483862726043,-46.6890430286349,Sul,6028.94
Perdizes,96,4,1114723,-23.600256607646344,-46.78607925460587,Centro,11611.7
Tatuapé,198,2,1049936,-23.58986630277723,-46.75060984678587,Norte,5302.71
Perdizes,129,3,1147735,-23.564637399216224,-46.73406609464706,Leste,8897.17
Pinheiros,167,1,1086751,-23.586753442229153,-46.66664842038202,Leste,6507.49
Pinheiros,262,1,1736590,-23.55681723093855,-46.71705833157096,Leste,6628.21
Tatuapé,252,1,808678,-23.552581190694948,-46.71905374068029,Oeste,3209.04
Tatuapé,278,3,840701,-23.563516628915483,-46.779684541428395,Centro,3024.1
Jardins,213,3,813058,-23.646311511158917,-46.73199723302817,Norte,3817.17
Tatuapé,276,2,833357,-23.6049529535895,-46.707060082345556,Oeste,3019.41
Vila Mariana,196,2,808784,-23.64658221611532,-46.796520049276594,Sul,4126.45
Perdizes,69,2,1356705,-23.593249787833013,-46.66660808899895,Norte,19662.39
Morumbi,234,4,1426151,-23.581181613308527,-46.71338226424679,Norte,6094.66
Lapa,195,1,828776,-23.600614186284023,-46.65630370127571,Norte,4250.13
Tatuapé,96,1,750293,-23.593951168863292,-46.760985618115036,Leste,7815.55
Itaim Bibi,282,2,1141425,-23.560566468426174,-46.78771148282987,Norte,4047.61
Pinheiros,98,1,834333,-23.61408263146902,-46.69200559943257,Centro,8513.6
Vila Mariana,63,2,1189880,-23.57160381825096,-46.778751251519864,Norte,18886.98
Santo Amaro,192,4,1060877,-23.611958795489784,-46.693832734569284,Leste,5525.4
Lapa,208,4,545277,-23.615020109239815,-46.786615524246585,Norte,2621.52
Morumbi,50,3,1464252,-23.565202485312867,-46.763094285539516,Sul,29285.04
Lapa,166,4,1538763,-23.556134962711067,-46.770736016526214,Sul,9269.66
Tatuapé,103,2,816163,-23.62807615860684,-46.65270098334007,Leste,7923.91
Jardins,167,4,883690,-23.595980042376933,-46.7944215535611,Centro,5291.56
Pinheiros,52,3,1085760,-23.55581637955055,-46.75900064881055,Centro,20880.0
Pinheiros,193,1,1100337,-23.649486631716975,-46.69571266430792,Oeste,5701.23
Santo Amaro,264,2,1197563,-23.555778056099637,-46.77440919972882,Leste,4536.22
Jardins,234,1,1603061,-23.619503522885854,-46.69222817976224,Norte,6850.69
Perdizes,252,3,946916,-23.64836789252634,-46.78091307593492,Leste,3757.6
Moema,61,3,760511,-23.573918010421593,-46.66688705856179,Oeste,12467.39
Vila Mariana,123,3,586204,-23.56422493686872,-46.755552896619115,Leste,4765.89
Pinheiros,273,1,780721,-23.562138493942243,-46.73110477149673,Leste,2859.78
Itaim Bibi,65,1,990062,-23.58032751475676,-46.664480170529316,Oeste,15231.72
Pinheiros,249,1,1538367,-23.560104581101065,-46.68628407423883,Centro,6178.18
Lapa,151,1,844717,-23.619216134169413,-46.6518606054416,Norte,5594.15
Pinheiros,253,3,1067136,-23.556229179813005,-46.720315194819676,Oeste,4217.93
Pinheiros,201,3,995073,-23.600942212814978,-46.695189789113996,Sul,4950.61
Moema,205,2,1356518,-23.649669685385295,-46.73975362264466,Centro,6617.16
Moema,166,2,1758080,-23.6313970269506,-46.69458567115629,Sul,10590.84
Morumbi,57,1,840739,-23.6115219438231,-46.694987866726045,Centro,14749.81
Perdizes,171,4,853168,-23.58062536207866,-46.76147897980974,Norte,4989.29
Itaim Bibi,141,4,1313248,-23.612389583629163,-46.65722142539675,Norte,9313.82
Pinheiros,213,3,1204567,-23.602704146391165,-46.785434249278794,Leste,5655.24
Pinheiros,139,3,1554012,-23.592608338389038,-46.77783958115867,Sul,11179.94
Vila Mariana,185,3,1175178,-23.56307103767402,-46.750170702483956,Centro,6352.31
Moema,235,2,892212,-23.638660421524044,-46.7389832355161,Norte,3796.65
Itaim Bibi,109,2,1177196,-23.594978464882132,-46.78384537472095,Oeste,10799.96
Santo Amaro,227,3,1332611,-23.569462251182077,-46.677799526929306,Norte,5870.53
Morumbi,77,3,1246145,-23.58677593508773,-46.66184537432862,Oeste,16183.7
Perdizes,269,3,1152182,-23.591412975252894,-46.68592652548643,Centro,4283.2
Jardins,150,4,1320002,-23.632753789556688,-46.76918674180503,Norte,8800.01
Perdizes,90,2,1350789,-23.62336143805614,-46.65520054000897,Norte,15008.77
Lapa,277,4,1414648,-23.626930489364135,-46.73742102526252,Centro,5107.03
Pinheiros,241,4,1194613,-23.551103126442865,-46.79931562742869,Norte,4956.9
Morumbi,204,3,949865,-23.591615399817975,-46.77835441407563,Oeste,4656.2
Lapa,295,3,1044014,-23.598134415163532,-46.728216853356535,Norte,3539.03
Itaim Bibi,240,1,1361953,-23.551919227682305,-46.659546136393,Sul,5674.8
Jardins,194,1,754919,-23.575981320874504,-46.774706027157855,Leste,3891.34
Moema,250,4,1110602,-23.626028982312214,-46.73984677622658,Oeste,4442.41
Morumbi,210,2,881998,-23.5637109705729,-46.66723994955893,Sul,4199.99
Morumbi,294,3,1008623,-23.603531013145258,-46.6640785927235,Centro,3430.69
Pinheiros,261,3,1383536,-23.571520187201724,-46.78644402291549,Oeste,5300.9
Tatuapé,254,4,1057330,-23.55121207746439,-46.75038003944071,Leste,4162.72
Morumbi,269,1,1013931,-23.574120145759956,-46.77439301989751,Leste,3769.26
Vila Mariana,289,2,592043,-23.647587375491003,-46.78184683504234,Centro,2048.59
Jardins,206,1,1223876,-23.6301537111883,-46.73576585280725,Centro,5941.15
Jardins,190,1,1193645,-23.645957664432103,-46.727616952763256,Oeste,6282.34
Vila Mariana,95,1,1648976,-23.598785404392636,-46.71456411154815,Norte,17357.64
Santo Amaro,84,1,907667,-23.560973619867752,-46.697541988168666,Centro,10805.56
Vila Mariana,183,3,1065745,-23.60479594889737,-46.71518939412881,Norte,5823.74
Vila Mariana,131,3,1074815,-23.595437733455995,-46.76608194835952,Sul,8204.69
Jardins,164,1,1473236,-23.634435708273962,-46.74028851465227,Leste,8983.15
Perdizes,246,2,971411,-23.559808258078426,-46.783878493493226,Norte,3948.83
Jardins,96,4,1083706,-23.59882411370218,-46.716507002156874,Leste,11288.6
Tatuapé,202,2,1182369,-23.565004866469398,-46.74106343680781,Norte,5853.31
Pinheiros,243,2,1055983,-23.582467592689007,-46.744696132963796,Sul,4345.61
Lapa,59,2,866070,-23.623735707738778,-46.73875457434595,Centro,14679.15
Perdizes,105,1,1058227,-23.597601812936876,-46.75539506596282,Sul,10078.35
Moema,79,3,1322090,-23.587588828514576,-46.68561502025622,Centro,16735.32
Lapa,291,2,692045,-23.589447627857002,-46.726854566631864,Centro,2378.16
Pinheiros,158,1,1039891,-23.5959446768406,-46.66563372042125,Leste,6581.59
Tatuapé,54,2,789964,-23.628501654383705,-46.70767669914672,Sul,14628.96
Tatuapé,168,2,1358514,-23.639208468894022,-46.723150060293186,Norte,8086.39
Moema,297,1,543044,-23.64553346865039,-46.747833638931816,Sul,1828.43
Perdizes,82,3,832323,-23.62869033862553,-46.79257965788793,Leste,10150.28
Santo Amaro,167,3,1113164,-23.5815406895748,-46.740097659982254,Centro,6665.65
Vila Mariana,114,4,1469657,-23.618813470608654,-46.761539087426485,Leste,12891.73
Perdizes,195,1,980275,-23.59376031240554,-46.725939908924275,Oeste,5027.05
Santo Amaro,273,4,833440,-23.575467062204606,-46.74511560470645,Oeste,3052.89
Tatuapé,288,4,1564347,-23.63408715794259,-46.66063983242007,Norte,5431.76
Jardins,226,4,565596,-23.553842634896235,-46.68815873712627,Leste,2502.64
Pinheiros,60,3,340358,-23.640176199213542,-46.70427796398077,Norte,5672.63
Moema,134,1,1132004,-23.596147746462474,-46.72087400325098,Norte,8447.79
Pinheiros,75,4,849384,-23.613720147680826,-46.65684731182536,Oeste,11325.12
Itaim Bibi,112,1,693630,-23.615935392220578,-46.671003614632994,Norte,6193.12
Itaim Bibi,266,1,1212507,-23.63951177407065,-46.691522146168694,Oeste,4558.3
Perdizes,135,3,1073140,-23.61366696821672,-46.795729903635156,Centro,7949.19
Tatuapé,108,4,830776,-23.611393358476004,-46.69970205106546,Leste,7692.37
Tatuapé,76,4,615909,-23.55666520405607,-46.72230615871681,Norte,8104.07
Vila Mariana,226,1,1261737,-23.60184080219452,-46.67941465691076,Oeste,5582.91
Vila Mariana,254,2,1195060,-23.565016900081705,-46.741617010661365,Sul,4704.96
Vila Mariana,210,3,970247,-23.62374337687215,-46.69210248232739,Norte,4620.22
Jardins,147,3,1553991,-23.601222192081266,-46.681048886765765,Centro,10571.37
Lapa,154,3,678975,-23.618022777920835,-46.72748589426689,Centro,4408.93
Morumbi,148,3,542342,-23.55416729006024,-46.65082586987406,Sul,3664.47
Lapa,178,4,792428,-23.55847920160458,-46.651149604897384,Oeste,4451.84
Pinheiros,198,4,986324,-23.62163233880627,-46.682860321365276,Norte,4981.43
Lapa,289,2,1073002,-23.557208433599868,-46.655508204375124,Oeste,3712.81
Jardins,104,3,927629,-23.557125672776525,-46.666203863119605,Centro,8919.51
Pinheiros,55,3,1105617,-23.55121084752349,-46.70082909740081,Oeste,20102.13
Lapa,269,1,624538,-23.645650139829947,-46.77038785193697,Centro,2321.7
Jardins,258,4,1433129,-23.6237508359459,-46.73580729650539,Oeste,5554.76
Morumbi,246,3,975355,-23.585325140850205,-46.72690015889346,Sul,3964.86
Lapa,144,2,1335189,-23.579653558128765,-46.69402332348122,Leste,9272.15
Jardins,182,2,1102818,-23.584970322974584,-46.78976305791492,Sul,6059.44
Vila Mariana,151,4,1137026,-23.62746535311812,-46.709552256185574,Sul,7529.97
Tatuapé,52,2,1170930,-23.61613706110704,-46.663063915019364,Leste,22517.88
Vila Mariana,230,2,1134313,-23.568519556786747,-46.74255997741767,Leste,4931.8
Tatuapé,72,4,1192817,-23.56741093353341,-46.667075759021486,Norte,16566.9
Moema,278,3,1398746,-23.55983956497134,-46.70178347142025,Norte,5031.46
Moema,102,3,1058956,-23.616030271970132,-46.72611179080767,Sul,10381.92
Moema,214,2,1212701,-23.626437266222172,-46.781133378702776,Sul,5666.83
Morumbi,251,2,973079,-23.5765046428325,-46.72403198705101,Centro,3876.81
Vila Mariana,251,3,1432035,-23.55209449610309,-46.755338814904746,Centro,5705.32
Tatuapé,132,4,797082,-23.558217166747642,-46.79892252584986,Norte,6038.5
Jardins,194,2,1540282,-23.6467860034845,-46.669723367984695,Norte,7939.6
Pinheiros,134,1,987953,-23.579544477747742,-46.69120972882793,Centro,7372.78
Jardins,127,4,570767,-23.626922314783812,-46.709186411339644,Centro,4494.23
Pinheiros,250,2,1038431,-23.612466356885427,-46.713274226780825,Oeste,4153.72
Itaim Bibi,159,2,795685,-23.58819396396529,-46.71165316128983,Oeste,5004.31
Jardins,50,1,1252193,-23.570568726219555,-46.78614165038348,Centro,25043.86
Lapa,100,1,804213,-23.56213864181594,-46.75710489667003,Oeste,8042.13
Lapa,222,3,866145,-23.611501296803887,-46.741185782113604,Leste,3901.55
Perdizes,254,4,433138,-23.627463378063776,-46.69640590767941,Norte,1705.27
Vila Mariana,53,4,864308,-23.614390425354113,-46.77356855763319,Norte,16307.7
Pinheiros,239,3,272836,-23.603030213324914,-46.79325907672275,Centro,1141.57
Pinheiros,242,4,524829,-23.554195122343163,-46.77317974238253,Sul,2168.71
Vila Mariana,162,4,1228124,-23.64684887775944,-46.65023476577872,Centro,7581.01
Morumbi,281,4,1235740,-23.629871419165458,-46.74546020552751,Oeste,4397.65
Perdizes,81,4,1127637,-23.579282203670097,-46.657670307216314,Sul,13921.44
Morumbi,83,4,709907,-23.647997032935884,-46.68864108305006,Oeste,8553.1
Morumbi,141,1,985687,-23.61018815896363,-46.65892870505216,Leste,6990.69
Morumbi,144,4,998919,-23.608242265820724,-46.74056931794241,Oeste,6936.94
Vila Mariana,121,1,652491,-23.624807317942953,-46.75298848702389,Leste,5392.49
Morumbi,88,4,1451019,-23.631176978809012,-46.66717314570988,Leste,16488.85
Lapa,203,3,1263209,-23.615647860733148,-46.70757583245675,Oeste,6222.7
Moema,299,2,933711,-23.56280957463662,-46.71843547634333,Oeste,3122.78
Itaim Bibi,211,1,1008066,-23.58382675059945,-46.705357953264134,Leste,4777.56
Pinheiros,231,4,1062515,-23.642808364032604,-46.668153750072776,Sul,4599.63
Pinheiros,167,3,387480,-23.572461561184387,-46.71284216852812,Leste,2320.24
Itaim Bibi,52,2,925847,-23.587216702383753,-46.76267670717126,Norte,17804.75
Vila Mariana,172,1,795405,-23.59320768829442,-46.660651149679985,Leste,4624.45
Jardins,99,2,699514,-23.593940498969445,-46.66202700211228,Sul,7065.8
Vila Mariana,61,3,915670,-23.61129395824945,-46.7032156937754,Norte,15010.98
Pinheiros,242,1,1539306,-23.64430758377447,-46.791258856742836,Centro,6360.77
Pinheiros,103,2,1192253,-23.57406927118325,-46.75028589700843,Centro,11575.27
Itaim Bibi,285,4,828646,-23.56215013763009,-46.75180049350088,Sul,2907.53
Morumbi,182,1,1171775,-23.569747048985995,-46.70428799862568,Leste,6438.32
Vila Mariana,271,2,1419807,-23.638692490020926,-46.73904911868128,Oeste,5239.14
Tatuapé,271,3,1277390,-23.61458108126552,-46.65151967760416,Sul,4713.62
Itaim Bibi,106,3,1017889,-23.578590678923916,-46.74541440696143,Norte,9602.73
Lapa,194,1,805919,-23.63159469389686,-46.78699304213643,Norte,4154.22
Pinheiros,161,2,1209467,-23.636136999636342,-46.74188602025172,Centro,7512.22
Itaim Bibi,96,1,1118046,-23.634651433869028,-46.78105478901995,Norte,11646.31
Vila Mariana,200,1,1268558,-23.641892653363954,-46.75859595831991,Sul,6342.79
Pinheiros,256,2,1190552,-23.575224102017337,-46.668083762460554,Norte,4650.59
Jardins,278,2,1314866,-23.625504192874626,-46.78536799609287,Sul,4729.73
Itaim Bibi,134,4,839429,-23.596053949727413,-46.65996657665337,Oeste,6264.4
Perdizes,191,2,1395218,-23.634199855289005,-46.73009512088216,Centro,7304.81
Pinheiros,115,3,1059280,-23.62284906771616,-46.671320568569016,Norte,9211.13
Vila Mariana,124,1,1622578,-23.62764474464997,-46.65175599160963,Sul,13085.31
Moema,228,1,793244,-23.615616183768108,-46.71330513901914,Leste,3479.14
Tatuapé,152,3,1520789,-23.567742876946973,-46.694256106148124,Centro,10005.19
Santo Amaro,215,2,1059373,-23.604502691889692,-46.722900074069635,Oeste,4927.32
Morumbi,241,3,804575,-23.64846697395245,-46.73657998301018,Sul,3338.49
Santo Amaro,275,3,854834,-23.64373880664971,-46.65656086084634,Oeste,3108.49
Vila Mariana,87,4,903896,-23.554317373579703,-46.66845049426856,Oeste,10389.61
Lapa,99,3,1127250,-23.566481481572943,-46.73379635946756,Norte,11386.36
Lapa,147,1,1156851,-23.56317287734546,-46.7014751029759,Norte,7869.73
Moema,131,3,827890,-23.62259799099853,-46.75937602313242,Sul,6319.77
Morumbi,79,1,992694,-23.63177853298569,-46.74784374728879,Leste,12565.75
Perdizes,128,1,1642681,-23.57135113663107,-46.776840654448485,Sul,12833.45
Moema,140,1,1518263,-23.600585269295184,-46.75387392400038,Leste,10844.74
Santo Amaro,228,2,1130897,-23.63407030280112,-46.71448966160852,Oeste,4960.07
Moema,240,4,1011401,-23.623280154476625,-46.75094499335916,Centro,4214.17
Santo Amaro,275,1,1036009,-23.604223720549186,-46.69130717613831,Sul,3767.31
Pinheiros,101,1,1184055,-23.609034769045877,-46.69594702481673,Sul,11723.32
Lapa,298,2,693162,-23.600836054691626,-46.76834777398812,Leste,2326.05
Pinheiros,215,1,922787,-23.57975484513188,-46.71696292746024,Oeste,4292.03
Tatuapé,274,3,499425,-23.606502199285902,-46.769757051077754,Oeste,1822.72
Morumbi,265,3,1119767,-23.61888853020501,-46.77336335605024,Leste,4225.54
Perdizes,128,4,1194159,-23.63733229158608,-46.77863435064919,Oeste,9329.37
Santo Amaro,79,1,855044,-23.613629135397925,-46.78749528537618,Norte,10823.34
Perdizes,296,2,1472196,-23.626112153704316,-46.71464778307699,Centro,4973.64
Santo Amaro,155,3,632270,-23.566007163495456,-46.69783002274817,Sul,4079.16
Vila Mariana,100,2,560688,-23.59615574744198,-46.73732981198911,Centro,5606.88
Moema,130,2,1067336,-23.55093316198271,-46.705675863515644,Sul,8210.28
